assembly_accession,species,strain,assembly_level,assembly_method,bioproject,biosample,genome_size,gc_content,contig_count,n50,sequencing_tech,genome_type,host,isolation_source,country,collection_date,has_host,has_source,has_country,host_clean,source_clean,country_clean,species_epithet,host_bs,source_bs,country_bs,host_final,host_source,source_final,source_source,country_final,country_source,species_final
GCF_000737885.1,Bifidobacterium adolescentis,22L,Complete Genome,Mira v. 4.0,PRJNA240293,SAMN02673695,2203222.0,59.5,1.0,2203222.0,,isolate,,Human milk,Italy: Parma,,False,True,True,,human milk,Italy: Parma,adolescentis,,human milk,italy: parma,unknown,none,milk,biosample,italy,biosample,Bifidobacterium adolescentis
GCF_000817995.1,Bifidobacterium adolescentis,BB23,Complete Genome,HS HGAP Assembly v. 2,PRJNA271241,SAMN03273368,2173720.0,59.5,1.0,2173720.0,,isolate,,human feces,"China: village Bama, guangxi",,False,True,True,,human feces,"China: village Bama, guangxi",adolescentis,,human feces,"china: village bama, guangxi",unknown,none,human_gut,biosample,china,biosample,Bifidobacterium adolescentis
GCF_000829865.1,Bifidobacterium adolescentis,IVS-1,Contig,Newbler v. 2.7,PRJNA261982,SAMN03076346,2263462.0,,145.0,37610.0,,isolate,Homo sapiens,feces of a healthy adult,"USA: Lincoln, NE",,True,True,True,homo sapiens,feces of a healthy adult,"USA: Lincoln, NE",adolescentis,homo sapiens,feces of a healthy adult,"usa: lincoln, ne",homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_001010915.1,Bifidobacterium adolescentis,150,Contig,GS De Novo Assembler v. 3.0,PRJNA280952,SAMN03468113,2315664.0,59.5,34.0,176326.0,,isolate,Homo sapiens,feces,Russia:Tver,,True,True,True,homo sapiens,feces,Russia:Tver,adolescentis,homo sapiens,feces,russia:tver,homo sapiens,biosample,human_gut,biosample,russia,biosample,Bifidobacterium adolescentis
GCF_001406215.1,Bifidobacterium adolescentis,2789STDY5834850,Scaffold,Prokka,PRJEB10915,SAMEA3545316,2234127.0,59.5,15.0,361470.0,,isolate,,feces,,2013,False,True,False,,feces,,adolescentis,,feces,,unknown,none,human_gut,biosample,unknown,none,Bifidobacterium adolescentis
GCF_001406455.1,Bifidobacterium adolescentis,2789STDY5608824,Scaffold,Prokka,PRJEB10915,SAMEA3545233,2312049.0,59.5,28.0,130970.0,,isolate,,feces,,2013,False,True,False,,feces,,adolescentis,,feces,,unknown,none,human_gut,biosample,unknown,none,Bifidobacterium adolescentis
GCF_001406735.1,Bifidobacterium adolescentis,2789STDY5608862,Scaffold,Prokka,PRJEB10915,SAMEA3545270,2259076.0,59.5,64.0,56876.0,,isolate,,feces,,2013,False,True,False,,feces,,adolescentis,,feces,,unknown,none,human_gut,biosample,unknown,none,Bifidobacterium adolescentis
GCF_001756865.1,Bifidobacterium adolescentis,Km 4,Contig,GS De Novo Assembler v. 3.0,PRJNA327473,SAMN05300513,2424972.0,60.0,45.0,507062.0,,isolate,Homo sapiens,feces,Russia: Central region,,True,True,True,homo sapiens,feces,Russia: Central region,adolescentis,homo sapiens,feces,russia: central region,homo sapiens,biosample,human_gut,biosample,russia,biosample,Bifidobacterium adolescentis
GCF_002075965.1,Bifidobacterium adolescentis,1892B,Contig,Mira v. 4.0.2,PRJNA379831,SAMN06621712,2150850.0,59.5,11.0,646478.0,,isolate,Homo sapiens,,Italy,,True,False,True,homo sapiens,,Italy,adolescentis,homo sapiens,feces,italy,homo sapiens,biosample,human_gut,biosample,italy,biosample,Bifidobacterium adolescentis
GCF_002107925.1,Bifidobacterium adolescentis,42B,Contig,Mira v. 4.0.2,PRJNA300965,SAMN04231308,2212742.0,59.0,15.0,531841.0,,isolate,Homo sapiens,feces,Italy: Parma,,True,True,True,homo sapiens,feces,Italy: Parma,adolescentis,homo sapiens,feces,italy: parma,homo sapiens,biosample,human_gut,biosample,italy,biosample,Bifidobacterium adolescentis
GCF_002107955.1,Bifidobacterium adolescentis,70B,Contig,Mira v. 4.0.2,PRJNA300965,SAMN04231309,2212129.0,59.0,14.0,277024.0,,isolate,Homo sapiens,feces,Italy: Parma,,True,True,True,homo sapiens,feces,Italy: Parma,adolescentis,homo sapiens,feces,italy: parma,homo sapiens,biosample,human_gut,biosample,italy,biosample,Bifidobacterium adolescentis
GCF_002107975.1,Bifidobacterium adolescentis,AL12-4,Contig,Mira v. 4.0.2,PRJNA300965,SAMN04231313,2094907.0,59.5,8.0,1211119.0,,isolate,Homo sapiens,feces,Italy: Parma,,True,True,True,homo sapiens,feces,Italy: Parma,adolescentis,homo sapiens,feces,italy: parma,homo sapiens,biosample,human_gut,biosample,italy,biosample,Bifidobacterium adolescentis
GCF_002107995.1,Bifidobacterium adolescentis,LMG 10734,Contig,Mira v. 4.0.2,PRJNA300965,SAMN04231317,2148629.0,59.0,20.0,546772.0,,isolate,Homo sapiens,Intestine of adult,,,True,True,False,homo sapiens,intestine of adult,,adolescentis,homo sapiens,intestine of adult,missing,homo sapiens,biosample,other,biosample,unknown,none,Bifidobacterium adolescentis
GCF_002108015.1,Bifidobacterium adolescentis,487B,Contig,Mira v. 4.0.2,PRJNA300965,SAMN04231310,2597776.0,59.0,11.0,1843816.0,,isolate,Homo sapiens,feces,Italy: Parma,,True,True,True,homo sapiens,feces,Italy: Parma,adolescentis,homo sapiens,feces,italy: parma,homo sapiens,biosample,human_gut,biosample,italy,biosample,Bifidobacterium adolescentis
GCF_002108035.2,Bifidobacterium adolescentis,703B,Complete Genome,CANU v. 2.2,PRJNA300965,SAMN04231311,2390400.0,59.5,1.0,2390400.0,,isolate,Homo sapiens,feces,Italy: Parma,,True,True,True,homo sapiens,feces,Italy: Parma,adolescentis,homo sapiens,feces,italy: parma,homo sapiens,biosample,human_gut,biosample,italy,biosample,Bifidobacterium adolescentis
GCF_002108045.1,Bifidobacterium adolescentis,AD2-8,Contig,Mira v. 4.0.2,PRJNA300965,SAMN04231312,2379716.0,60.0,26.0,381314.0,,isolate,Homo sapiens,feces,Italy: Parma,,True,True,True,homo sapiens,feces,Italy: Parma,adolescentis,homo sapiens,feces,italy: parma,homo sapiens,biosample,human_gut,biosample,italy,biosample,Bifidobacterium adolescentis
GCF_002108075.1,Bifidobacterium adolescentis,AL46-2,Contig,Mira v. 4.0.2,PRJNA300965,SAMN04231314,2208560.0,59.5,17.0,418755.0,,isolate,Homo sapiens,feces,Italy: Parma,,True,True,True,homo sapiens,feces,Italy: Parma,adolescentis,homo sapiens,feces,italy: parma,homo sapiens,biosample,human_gut,biosample,italy,biosample,Bifidobacterium adolescentis
GCF_002108095.1,Bifidobacterium adolescentis,AL46-7,Contig,Mira v. 4.0.2,PRJNA300965,SAMN04231315,2203026.0,59.0,12.0,416655.0,,isolate,Homo sapiens,feces,Italy: Parma,,True,True,True,homo sapiens,feces,Italy: Parma,adolescentis,homo sapiens,feces,italy: parma,homo sapiens,biosample,human_gut,biosample,italy,biosample,Bifidobacterium adolescentis
GCF_002108135.1,Bifidobacterium adolescentis,LMG 10733,Contig,Mira v. 4.0.2,PRJNA300965,SAMN04231316,2084232.0,59.0,8.0,1253684.0,,isolate,Homo sapiens,Intestine of adult,,,True,True,False,homo sapiens,intestine of adult,,adolescentis,homo sapiens,intestine of adult,missing,homo sapiens,biosample,other,biosample,unknown,none,Bifidobacterium adolescentis
GCF_002108155.1,Bifidobacterium adolescentis,LMG 11579,Contig,Mira v. 4.0.2,PRJNA300965,SAMN04231318,2061686.0,59.5,7.0,1633470.0,,isolate,Bos taurus,rumen,,,True,True,False,bos taurus,rumen,,adolescentis,bos taurus,rumen,missing,bos taurus,biosample,other,biosample,unknown,none,Bifidobacterium adolescentis
GCF_002108165.1,Bifidobacterium adolescentis,LMG 18897,Contig,Mira v. 4.0.2,PRJNA300965,SAMN04231319,2146787.0,60.0,33.0,127122.0,,isolate,Homo sapiens,feces,,,True,True,False,homo sapiens,feces,,adolescentis,homo sapiens,feces,missing,homo sapiens,biosample,human_gut,biosample,unknown,none,Bifidobacterium adolescentis
GCF_003030905.1,Bifidobacterium adolescentis,1-11,Complete Genome,SOAPdenovo v. 2.04,PRJNA445212,SAMN08770276,2192428.0,59.5,1.0,2192428.0,,isolate,Homo sapiens,infant faece,China,,True,True,True,homo sapiens,infant faece,China,adolescentis,homo sapiens,infant faece,china,homo sapiens,biosample,other,biosample,china,biosample,Bifidobacterium adolescentis
GCF_003429385.1,Bifidobacterium adolescentis,6,Complete Genome,HGAP v. 3.0,PRJNA399823,SAMN07551488,2201808.0,59.5,1.0,2201808.0,,isolate,,Korean adult feces,South Korea: Bundang,,False,True,True,,korean adult feces,South Korea: Bundang,adolescentis,,korean adult feces,south korea: bundang,unknown,none,human_gut,biosample,south korea,biosample,Bifidobacterium adolescentis
GCF_003436185.1,Bifidobacterium adolescentis,TM06-4,Scaffold,SOAPdenovo v. 2,PRJNA482748,SAMN09736994,2150377.0,59.0,21.0,299387.0,,isolate,Homo sapiens,feces,China: Shenzhen,,True,True,True,homo sapiens,feces,China: Shenzhen,adolescentis,homo sapiens,feces,china: shenzhen,homo sapiens,biosample,human_gut,biosample,china,biosample,Bifidobacterium adolescentis
GCF_003437735.1,Bifidobacterium adolescentis,TF06-2AC,Scaffold,SOAPdenovo v. 2,PRJNA482748,SAMN09736894,2265719.0,59.5,30.0,249758.0,,isolate,Homo sapiens,feces,China: Shenzhen,,True,True,True,homo sapiens,feces,China: Shenzhen,adolescentis,homo sapiens,feces,china: shenzhen,homo sapiens,biosample,human_gut,biosample,china,biosample,Bifidobacterium adolescentis
GCF_003437755.1,Bifidobacterium adolescentis,TF06-29,Scaffold,SOAPdenovo v. 2,PRJNA482748,SAMN09736893,2163523.0,59.0,27.0,261542.0,,isolate,Homo sapiens,feces,China: Shenzhen,,True,True,True,homo sapiens,feces,China: Shenzhen,adolescentis,homo sapiens,feces,china: shenzhen,homo sapiens,biosample,human_gut,biosample,china,biosample,Bifidobacterium adolescentis
GCF_003437775.1,Bifidobacterium adolescentis,TF06-10AC,Scaffold,SOAPdenovo v. 2,PRJNA482748,SAMN09736887,2162486.0,59.0,28.0,261464.0,,isolate,Homo sapiens,feces,China: Shenzhen,,True,True,True,homo sapiens,feces,China: Shenzhen,adolescentis,homo sapiens,feces,china: shenzhen,homo sapiens,biosample,human_gut,biosample,china,biosample,Bifidobacterium adolescentis
GCF_003457765.1,Bifidobacterium adolescentis,AF28-4AC,Scaffold,SOAPdenovo v. 2,PRJNA482748,SAMN09734547,2141977.0,59.0,20.0,247568.0,,isolate,Homo sapiens,feces,China: Shenzhen,,True,True,True,homo sapiens,feces,China: Shenzhen,adolescentis,homo sapiens,feces,china: shenzhen,homo sapiens,biosample,human_gut,biosample,china,biosample,Bifidobacterium adolescentis
GCF_003458805.1,Bifidobacterium adolescentis,AF21-27,Scaffold,SOAPdenovo v. 2,PRJNA482748,SAMN09734426,2277840.0,59.5,32.0,171499.0,,isolate,Homo sapiens,feces,China: Shenzhen,,True,True,True,homo sapiens,feces,China: Shenzhen,adolescentis,homo sapiens,feces,china: shenzhen,homo sapiens,biosample,human_gut,biosample,china,biosample,Bifidobacterium adolescentis
GCF_003462885.1,Bifidobacterium adolescentis,OF04-5,Scaffold,SOAPdenovo v. 2,PRJNA482748,SAMN09736710,2141917.0,59.0,23.0,247564.0,,isolate,Homo sapiens,feces,China: Shenzhen,,True,True,True,homo sapiens,feces,China: Shenzhen,adolescentis,homo sapiens,feces,china: shenzhen,homo sapiens,biosample,human_gut,biosample,china,biosample,Bifidobacterium adolescentis
GCF_003462895.1,Bifidobacterium adolescentis,OF04-9AC,Scaffold,SOAPdenovo v. 2,PRJNA482748,SAMN09736711,2142182.0,59.0,21.0,1195769.0,,isolate,Homo sapiens,feces,China: Shenzhen,,True,True,True,homo sapiens,feces,China: Shenzhen,adolescentis,homo sapiens,feces,china: shenzhen,homo sapiens,biosample,human_gut,biosample,china,biosample,Bifidobacterium adolescentis
GCF_003464325.1,Bifidobacterium adolescentis,AF15-3,Scaffold,SOAPdenovo v. 2,PRJNA482748,SAMN09734284,2197116.0,59.5,17.0,512189.0,,isolate,Homo sapiens,feces,China: Shenzhen,,True,True,True,homo sapiens,feces,China: Shenzhen,adolescentis,homo sapiens,feces,china: shenzhen,homo sapiens,biosample,human_gut,biosample,china,biosample,Bifidobacterium adolescentis
GCF_003465205.1,Bifidobacterium adolescentis,AF14-56,Scaffold,SOAPdenovo v. 2,PRJNA482748,SAMN09734269,2256986.0,59.5,32.0,251814.0,,isolate,Homo sapiens,feces,China: Shenzhen,,True,True,True,homo sapiens,feces,China: Shenzhen,adolescentis,homo sapiens,feces,china: shenzhen,homo sapiens,biosample,human_gut,biosample,china,biosample,Bifidobacterium adolescentis
GCF_003466335.1,Bifidobacterium adolescentis,TM06-51,Scaffold,SOAPdenovo v. 2,PRJNA482748,SAMN09736997,2225243.0,59.0,35.0,199631.0,,isolate,Homo sapiens,feces,China: Shenzhen,,True,True,True,homo sapiens,feces,China: Shenzhen,adolescentis,homo sapiens,feces,china: shenzhen,homo sapiens,biosample,human_gut,biosample,china,biosample,Bifidobacterium adolescentis
GCF_003467335.1,Bifidobacterium adolescentis,AM41-17,Scaffold,SOAPdenovo v. 2,PRJNA482748,SAMN09736531,2094567.0,59.0,27.0,256011.0,,isolate,Homo sapiens,feces,China: Shenzhen,,True,True,True,homo sapiens,feces,China: Shenzhen,adolescentis,homo sapiens,feces,china: shenzhen,homo sapiens,biosample,human_gut,biosample,china,biosample,Bifidobacterium adolescentis
GCF_003468385.1,Bifidobacterium adolescentis,AM36-3AC,Scaffold,SOAPdenovo v. 2,PRJNA482748,SAMN09736483,2215465.0,59.0,25.0,225493.0,,isolate,Homo sapiens,feces,China: Shenzhen,,True,True,True,homo sapiens,feces,China: Shenzhen,adolescentis,homo sapiens,feces,china: shenzhen,homo sapiens,biosample,human_gut,biosample,china,biosample,Bifidobacterium adolescentis
GCF_003469145.1,Bifidobacterium adolescentis,AM34-11,Scaffold,SOAPdenovo v. 2,PRJNA482748,SAMN09736459,2173388.0,59.5,22.0,566675.0,,isolate,Homo sapiens,feces,China: Shenzhen,,True,True,True,homo sapiens,feces,China: Shenzhen,adolescentis,homo sapiens,feces,china: shenzhen,homo sapiens,biosample,human_gut,biosample,china,biosample,Bifidobacterium adolescentis
GCF_003472095.1,Bifidobacterium adolescentis,AM14-37,Scaffold,SOAPdenovo v. 2,PRJNA482748,SAMN09734811,2193162.0,59.0,16.0,356021.0,,isolate,Homo sapiens,feces,China: Shenzhen,,True,True,True,homo sapiens,feces,China: Shenzhen,adolescentis,homo sapiens,feces,china: shenzhen,homo sapiens,biosample,human_gut,biosample,china,biosample,Bifidobacterium adolescentis
GCF_003472245.1,Bifidobacterium adolescentis,AM12-59,Scaffold,SOAPdenovo v. 2,PRJNA482748,SAMN09734791,2288825.0,59.0,84.0,121470.0,,isolate,Homo sapiens,feces,China: Shenzhen,,True,True,True,homo sapiens,feces,China: Shenzhen,adolescentis,homo sapiens,feces,china: shenzhen,homo sapiens,biosample,human_gut,biosample,china,biosample,Bifidobacterium adolescentis
GCF_003472265.1,Bifidobacterium adolescentis,AM12-20,Scaffold,SOAPdenovo v. 2,PRJNA482748,SAMN09734786,2293869.0,59.5,33.0,307867.0,,isolate,Homo sapiens,feces,China: Shenzhen,,True,True,True,homo sapiens,feces,China: Shenzhen,adolescentis,homo sapiens,feces,china: shenzhen,homo sapiens,biosample,human_gut,biosample,china,biosample,Bifidobacterium adolescentis
GCF_003473105.1,Bifidobacterium adolescentis,AM13-11,Scaffold,SOAPdenovo v. 2,PRJNA482748,SAMN09734794,2263245.0,59.5,18.0,622708.0,,isolate,Homo sapiens,feces,China: Shenzhen,,True,True,True,homo sapiens,feces,China: Shenzhen,adolescentis,homo sapiens,feces,china: shenzhen,homo sapiens,biosample,human_gut,biosample,china,biosample,Bifidobacterium adolescentis
GCF_003473345.1,Bifidobacterium adolescentis,AF45-19,Contig,SPAdes v. 3.1.0,PRJNA482748,SAMN09734719,2247377.0,,54.0,112471.0,,isolate,Homo sapiens,feces,China: Shenzhen,,True,True,True,homo sapiens,feces,China: Shenzhen,adolescentis,homo sapiens,feces,china: shenzhen,homo sapiens,biosample,human_gut,biosample,china,biosample,Bifidobacterium adolescentis
GCF_003856735.1,Bifidobacterium adolescentis,P2P3,Complete Genome,HGAP v. 3.0,PRJNA419599,SAMN08093360,2202982.0,59.5,1.0,2202982.0,,isolate,,Korean adult feces,South Korea: Seoul,,False,True,True,,korean adult feces,South Korea: Seoul,adolescentis,,korean adult feces,south korea: seoul,unknown,none,human_gut,biosample,south korea,biosample,Bifidobacterium adolescentis
GCF_004167585.1,Bifidobacterium adolescentis,ca_0067,Contig,SPAdes v. 3.9.0,PRJNA496358,SAMN10239583,2149199.0,59.5,13.0,1549477.0,,isolate,Homo sapiens,stool,USA: Cambridge,,True,True,True,homo sapiens,stool,USA: Cambridge,adolescentis,homo sapiens,stool,usa: cambridge,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_005845205.1,Bifidobacterium adolescentis,1001271st1_A4,Scaffold,SPAdes v. 3.10.1,PRJNA518912,SAMN10863259,2251529.0,59.5,26.0,173803.0,,isolate,Homo sapiens,stool,USA,,True,True,True,homo sapiens,stool,USA,adolescentis,homo sapiens,stool,usa,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009075795.1,Bifidobacterium adolescentis,BIOML-A227,Contig,SPAdes v. 3.9.1,PRJNA544527,SAMN11944566,2133267.0,,12.0,1206263.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009075815.1,Bifidobacterium adolescentis,BIOML-A209,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944548,2201059.0,,32.0,109587.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009075885.1,Bifidobacterium adolescentis,BIOML-A245,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944584,2199326.0,,14.0,502471.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009075895.1,Bifidobacterium adolescentis,BIOML-A188,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944527,2303244.0,,12.0,1323300.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009075915.1,Bifidobacterium adolescentis,BIOML-A235,Contig,SPAdes v. 3.9.1,PRJNA544527,SAMN11944574,2199067.0,,13.0,1206496.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009075925.1,Bifidobacterium adolescentis,BIOML-A236,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944575,2202918.0,,16.0,1206482.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009075935.1,Bifidobacterium adolescentis,BIOML-A234,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944573,2199700.0,,13.0,424589.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009075975.1,Bifidobacterium adolescentis,BIOML-A232,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944571,2133616.0,,11.0,408448.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009075995.1,Bifidobacterium adolescentis,BIOML-A186,Contig,SPAdes v. 3.9.1,PRJNA544527,SAMN11944525,2141086.0,,9.0,1179250.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076015.1,Bifidobacterium adolescentis,BIOML-A185,Contig,SPAdes v. 3.9.1,PRJNA544527,SAMN11944524,2146492.0,,8.0,1179305.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076025.1,Bifidobacterium adolescentis,BIOML-A230,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944569,2198960.0,,13.0,1205362.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076045.1,Bifidobacterium adolescentis,BIOML-A165,Contig,SPAdes v. 3.9.1,PRJNA544527,SAMN11944504,2140813.0,,9.0,1179018.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076055.1,Bifidobacterium adolescentis,BIOML-A233,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944572,2199002.0,,11.0,1206501.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076095.1,Bifidobacterium adolescentis,BIOML-A170,Contig,SPAdes v. 3.9.1,PRJNA544527,SAMN11944509,2147489.0,,10.0,1153418.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076115.1,Bifidobacterium adolescentis,BIOML-A231,Scaffold,SPAdes v. 3.9.1,PRJNA544527,SAMN11944570,2199049.0,,13.0,1206381.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
GCF_009076125.1,Bifidobacterium adolescentis,BIOML-A167,Contig,SPAdes v. 3.9.1,PRJNA544527,SAMN11944506,2142299.0,,12.0,359886.0,,isolate,Homo sapiens,,USA:Boston,,True,False,True,homo sapiens,,USA:Boston,adolescentis,homo sapiens,fecal material [envo:00002003],usa:boston,homo sapiens,biosample,human_gut,biosample,usa,biosample,Bifidobacterium adolescentis
